Gene Group 1	Enrichment Score: 12.947712657866255
OFFICIAL_GENE_SYMBOL	Gene Name
LOC298139	similar to RIKEN cDNA 2310003M01
Rtn4ip1	reticulon 4 interacting protein 1
Mut	methylmalonyl-Coenzyme A mutase
Armc1	armadillo repeat containing 1

Gene Group 2	Enrichment Score: 11.458138705513653
OFFICIAL_GENE_SYMBOL	Gene Name
Ivd	isovaleryl coenzyme A dehydrogenase
Pars2	prolyl-tRNA synthetase 2, mitochondrial (putative)
Ndufa10	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 10-like 1; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 10
D2hgdh	D-2-hydroxyglutarate dehydrogenase
Pcca	propionyl-coenzyme A carboxylase, alpha polypeptide
Acad9	acyl-Coenzyme A dehydrogenase family, member 9
Suclg2	succinate-CoA ligase, GDP-forming, beta subunit
Mccc2	methylcrotonoyl-Coenzyme A carboxylase 2 (beta)
Acadsb	acyl-Coenzyme A dehydrogenase, short/branched chain

Gene Group 3	Enrichment Score: 10.90677217478139
OFFICIAL_GENE_SYMBOL	Gene Name
Tomm70a	translocase of outer mitochondrial membrane 70 homolog A (S. cerevisiae); similar to translocase of outer mitochondrial membrane 70 homolog A
Cyb5b	cytochrome b5 type B (outer mitochondrial membrane)
Slc25a15	solute carrier family 25 (mitochondrial carrier; ornithine transporter) member 15
Slc25a38	solute carrier family 25, member 38
Ppif	peptidylprolyl isomerase F (cyclophilin F)
Slc25a29	solute carrier family 25, member 29
Mtch2	mitochondrial carrier homolog 2 (C. elegans)
Opa1	optic atrophy 1 homolog (human)
Immt	inner membrane protein, mitochondrial
Chchd3	coiled-coil-helix-coiled-coil-helix domain containing 3
Mrpl17	mitochondrial ribosomal protein L17
Gstk1	glutathione S-transferase kappa 1
Sdhd	succinate dehydrogenase complex, subunit D, integral membrane protein
Bdh1	3-hydroxybutyrate dehydrogenase, type 1
Tomm22	translocase of outer mitochondrial membrane 22 homolog (yeast)
Samm50	sorting and assembly machinery component 50 homolog (S. cerevisiae)
Slc25a11	solute carrier family 25 (mitochondrial carrier; oxoglutarate carrier), member 11
Slc25a34	solute carrier family 25, member 34
Timm50	translocase of inner mitochondrial membrane 50 homolog (S. cerevisiae)
Sco1	SCO cytochrome oxidase deficient homolog 1 (yeast)
Ndufb10	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 10
Slc25a10	solute carrier family 25 (mitochondrial carrier; dicarboxylate transporter), member 10
Letm1	leucine zipper-EF-hand containing transmembrane protein 1
Apool	apolipoprotein O-like
Mpst	mercaptopyruvate sulfurtransferase
Tmem70	transmembrane protein 70
Slc25a5	similar to solute carrier family 25, member 5; solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5
Efhd1	EF-hand domain family, member D1
Slc25a39	solute carrier family 25, member 39
Oxa1l	oxidase assembly 1-like

Gene Group 4	Enrichment Score: 9.252574072614872
OFFICIAL_GENE_SYMBOL	Gene Name
Oxct1	3-oxoacid CoA transferase 1; HEAT repeat family member 7B2
Mrpl10	similar to mitochondrial ribosomal protein L10; mitochondrial ribosomal protein L10
Mrps15	mitochondrial ribosomal protein S15
Klhl30	kelch-like 30 (Drosophila)
Mrps10	mitochondrial ribosomal protein S10
Mrpl18	mitochondrial ribosomal protein L18
Mrpl3	mitochondrial ribosomal protein L3
Mrpl16	mitochondrial ribosomal protein L16
Mrpl17	mitochondrial ribosomal protein L17
Rpl3l	ribosomal protein L3-like
Mrpl38	mitochondrial ribosomal protein L38
Rplp1	similar to 60S acidic ribosomal protein P1; ribosomal protein, large, P1
Mrpl34	mitochondrial ribosomal protein L34
Mrpl43	mitochondrial ribosomal protein L43
mrpl9	mitochondrial ribosomal protein L9
Mrps18a	mitochondrial ribosomal protein S18A
Mrpl40	mitochondrial ribosomal protein L40; similar to mitochondrial ribosomal protein L40
Pitrm1	pitrilysin metallopeptidase 1

Gene Group 5	Enrichment Score: 6.403501760077961
OFFICIAL_GENE_SYMBOL	Gene Name
Sbk2	SH3-binding domain kinase family, member 2
Ak2	similar to Adenylate kinase 2; adenylate kinase 2; hypothetical LOC314258
Grpel1	GrpE-like 1, mitochondrial
Ttl	tubulin tyrosine ligase
Myh14	myosin, heavy chain 14
Timm44	translocase of inner mitochondrial membrane 44 homolog (yeast)
Cct6a	similar to chaperonin subunit 6a (zeta); chaperonin containing Tcp1, subunit 6A (zeta 1)
Pak4	p21 protein (Cdc42/Rac)-activated kinase 4
Plk4	polo-like kinase 4 (Drosophila)
Rrm1	ribonucleotide reductase M1; similar to Ribonucleotide reductase M1; ribonucleotide reductase M1, pseudogene 1
Dyrk2	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2
RGD1564899	similar to chromosome 10 open reading frame 71
Mcm5	minichromosome maintenance complex component 5
Thnsl1	threonine synthase-like 1 (S. cerevisiae)
Hspa9	similar to Stress-70 protein, mitochondrial precursor (75 kDa glucose regulated protein) (GRP 75) (Peptide-binding protein 74) (PBP74) (MTHSP70) (Mortalin); heat shock protein 9; similar to Stress-70 protein, mitochondrial precursor (75 kDa glucose-regulated protein) (GRP 75) (Peptide-binding protein 74) (PBP74) (P66 MOT) (Mortalin)
Aars2	alanyl-tRNA synthetase 2, mitochondrial (putative)
Mvk	mevalonate kinase
Qrsl1	glutaminyl-tRNA synthase (glutamine-hydrolyzing)-like 1
Sucla2	succinate-CoA ligase, ADP-forming, beta subunit
Pdk2	pyruvate dehydrogenase kinase, isozyme 2
Pcca	propionyl-coenzyme A carboxylase, alpha polypeptide
Kif22	kinesin family member 22
Ret	ret proto-oncogene
Mcm3	similar to DNA replication licensing factor MCM3 (DNA polymerase alpha holoenzyme-associated protein P1) (P1-MCM3); minichromosome maintenance complex component 3
Phkg1	phosphorylase kinase gamma 1
Mlh3	mutL homolog 3 (E. coli)
Kif16b	kinesin family member 16B
Map2k4	mitogen activated protein kinase kinase 4
Epha3	Eph receptor A3
Atad1	ATPase family, AAA domain containing 1
Timm8a1	translocase of inner mitochondrial membrane 8 homolog a1 (yeast)
Abcf1	ATP-binding cassette, sub-family F (GCN20), member 1
Ddr1	discoidin domain receptor tyrosine kinase 1
Pc	pyruvate carboxylase
