Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_FAT	GO:0005739~mitochondrion	228	19.96497373029772	1.0315816786889506E-48	HCCS, MRPL40, OXA1L, PDP2, TARS2, TMEM143, OGDH, HIBADH, GOT2, MRPL38, GPT2, DDAH1, TMEM14C, MRPL34, HIGD1A, MRPL35, LYRM2, PDPR, OPA3, BSG, OPA1, NUDT19, SUCLG2, BCL2L13, LETM1, TIMM8A1, MRPL48, MRPL45, MRPL43, MPST, RGD1311756, ACADSB, TXN2, MTX2, FARS2, CHCHD3, CHCHD4, GCSH, DIABLO, DCAKD, GPD2, GARS, DLAT, AFG3L1, PPA2, VDAC1, PTCD2, CHAF1B, LRRC10, SPG7, GTPBP10, GJA1, KCNJ11, TAS1R2, ARL2BP, MTFR1, CKB, MTHFD1, MCCC2, EFHD1, DNAJC15, MSRA, AGPAT5, NT5M, MCEE, ATP5S, GBAS, SYNJ2, GSTZ1, LOC606294, MRPL4, MRPL3, NDUFB10, SLC25A5, AIFM1, MRPL9, CYB5A, DARS2, CYB5B, NDUFA10, TOMM22, THEM4, AARS2, APOOL, BCAT2, UNG, HK2, HK1, DNAJC30, RGD735029, MRPL10, MRPL12, ACSL1, PARS2, MMACHC, MRPL17, BCL2, MRPL16, PITRM1, MRPL18, PDHX, ACSL6, PDK1, PDK2, SHMT2, IMMT, BCKDHB, MSRB3, SOD2, RAB32, MRPL28, TFRC, ATP6V1E1, SDHD, GRPEL1, CLPB, NT5DC3, BPHL, MIPEP, CLYBL, PDHB, PECR, SLC16A1, ACSS1, LRRC59, AKR7A2, SLC25A29, SPR, PRKACA, MTO1, OMA1, ALDH6A1, FECH, QDPR, PYCR1, SLC25A34, MRPS18A, SLC25A38, SLC25A39, AKAP1, PCCA, LRPPRC, ME1, ME3, CCBL1, MRPS15, MRPS10, MUT, MTCH2, IVD, GSTK1, GFM1, TDRKH, LIAS, DNAJA3, PPTC7, MUL1, AK2, GLOD4, ABCB7, SPRYD4, IDH3A, ARMC1, ATAD1, PPIF, SLC25A11, SLC25A13, TOMM70A, SLC25A10, HSPD1, SLC25A15, PC, E2F1, D2HGDH, CYB5R1, TIMM50, PRDX3, NDUFAF1, ACSF3, ACSF2, ALAS1, LACE1, ABHD11, PXMP2, ACAD9, SUCLA2, FTSJ2, RTN4IP1, AKT2, SUOX, LOC298139, WBSCR16, ALDH5A1, HMBS, TMEM70, PROSC, COQ9, TIMM44, MRPS2, HAGH, COQ3, COQ2, ALDH7A1, PPM1K, PEBP1, ATPAF1, ALDH9A1, SAMM50, RGD1563242, TIMM10, EGLN3, ATIC, OXCT1, BDH1, SCO1, HSPA9, ALKBH7, DLST, DNM1L, GRSF1, XPNPEP3, OXSM, DBT, CYBB, GCK, TSFM, HIBCH, ALKBH3	737	1250	10776	2.6669503392130256	5.096013492723416E-46	5.096013492723416E-46	1.4829987142387586E-45
GOTERM_CC_FAT	GO:0044429~mitochondrial part	105	9.194395796847637	5.240500068954923E-25	MRPL40, GRPEL1, OXA1L, TARS2, PDP2, MIPEP, OGDH, PDHB, GOT2, ACSS1, LRRC59, SLC25A29, MRPL34, FECH, OPA1, SUCLG2, LETM1, TIMM8A1, SLC25A34, MRPS18A, SLC25A38, SLC25A39, AKAP1, MRPL43, LRPPRC, PCCA, MPST, CCBL1, ACADSB, MRPS15, FARS2, MTX2, CHCHD3, CHCHD4, MTCH2, IVD, GSTK1, DNAJA3, GPD2, GARS, AK2, MUL1, DLAT, ABCB7, IDH3A, VDAC1, PPIF, SLC25A11, SLC25A13, TOMM70A, SLC25A10, HSPD1, SLC25A15, PC, GJA1, TIMM50, TAS1R2, ARL2BP, EFHD1, MCCC2, ALAS1, ATP5S, SYNJ2, SUOX, MRPL3, NDUFB10, SLC25A5, AIFM1, TMEM70, CYB5A, DARS2, CYB5B, NDUFA10, TIMM44, HAGH, COQ3, PEBP1, TOMM22, APOOL, SAMM50, HK2, TIMM10, HK1, MRPL10, ACSL1, PARS2, MRPL17, OXCT1, BCL2, MRPL16, PITRM1, BDH1, ACSL6, HSPA9, SCO1, PDK1, DLST, PDK2, SHMT2, DNM1L, IMMT, BCKDHB, SOD2, DBT, SDHD	737	515	10776	2.981069937163257	2.588807034063732E-22	1.294403517031866E-22	7.533727115147457E-22
GOTERM_CC_FAT	GO:0031980~mitochondrial lumen	55	4.816112084063047	3.602013396875413E-22	MRPL40, GRPEL1, TARS2, PDP2, MIPEP, OGDH, TAS1R2, PDHB, GOT2, MCCC2, ALAS1, ACSS1, LRRC59, MRPL34, FECH, MRPL3, SUCLG2, SLC25A5, DARS2, NDUFA10, HAGH, COQ3, MRPS18A, AKAP1, MRPL43, LRPPRC, PCCA, ACADSB, CCBL1, MRPS15, FARS2, MRPL10, IVD, PARS2, GSTK1, OXCT1, MRPL16, PITRM1, BDH1, DNAJA3, HSPA9, PDK1, DLST, PDK2, SHMT2, BCKDHB, GARS, DLAT, IDH3A, VDAC1, SOD2, PPIF, DBT, HSPD1, PC	737	175	10776	4.595309168443496	1.779394618056454E-19	5.931315393521513E-20	5.178243610361473E-19
GOTERM_CC_FAT	GO:0005759~mitochondrial matrix	55	4.816112084063047	3.602013396875413E-22	MRPL40, GRPEL1, TARS2, PDP2, MIPEP, OGDH, TAS1R2, PDHB, GOT2, MCCC2, ALAS1, ACSS1, LRRC59, MRPL34, FECH, MRPL3, SUCLG2, SLC25A5, DARS2, NDUFA10, HAGH, COQ3, MRPS18A, AKAP1, MRPL43, LRPPRC, PCCA, ACADSB, CCBL1, MRPS15, FARS2, MRPL10, IVD, PARS2, GSTK1, OXCT1, MRPL16, PITRM1, BDH1, DNAJA3, HSPA9, PDK1, DLST, PDK2, SHMT2, BCKDHB, GARS, DLAT, IDH3A, VDAC1, SOD2, PPIF, DBT, HSPD1, PC	737	175	10776	4.595309168443496	1.779394618056454E-19	5.931315393521513E-20	5.178243610361473E-19
GOTERM_CC_FAT	GO:0031967~organelle envelope	82	7.180385288966725	1.4549817642898272E-11	OXA1L, GJA1, TIMM50, OGDH, ARL2BP, GOT2, EFHD1, TMEM109, ATP5S, SLC25A29, SYNJ2, KPNB1, SUOX, OPA1, NDUFB10, AIFM1, SLC25A5, TMEM38A, TMEM70, CYB5A, CYB5B, TIMM44, LETM1, TIMM8A1, SLC25A34, IGF2R, HRASLS, HIPK2, SLC25A38, AKAP6, PEBP1, TOMM22, SLC25A39, KPNA3, AKAP1, KPNA2, LRPPRC, KPNA1, MPST, APOOL, MTDH, SAMM50, LMNB1, MTX2, TIMM10, HK2, CHCHD3, HK1, CHCHD4, ACSL1, MTCH2, BCHE, MRPL17, GSTK1, DHCR7, NUP210, BCL2, MNS1, BDH1, ACSL6, SCO1, GPD2, SHMT2, DNM1L, IMMT, MUL1, AK2, ABCB7, MSRB3, SOD2, VDAC1, PPIF, SLC25A11, SLC25A13, TOMM70A, SLC25A10, SDHD, FAF1, HSPD1, PARP1, SLC25A15, PC	737	547	10776	2.191879227760152	7.187604067482312E-9	1.7969009613594267E-9	2.0916757215161397E-8
GOTERM_CC_FAT	GO:0031975~envelope	82	7.180385288966725	2.1566077586622202E-11	OXA1L, GJA1, TIMM50, OGDH, ARL2BP, GOT2, EFHD1, TMEM109, ATP5S, SLC25A29, SYNJ2, KPNB1, SUOX, OPA1, NDUFB10, AIFM1, SLC25A5, TMEM38A, TMEM70, CYB5A, CYB5B, TIMM44, LETM1, TIMM8A1, SLC25A34, IGF2R, HRASLS, HIPK2, SLC25A38, AKAP6, PEBP1, TOMM22, SLC25A39, KPNA3, AKAP1, KPNA2, LRPPRC, KPNA1, MPST, APOOL, MTDH, SAMM50, LMNB1, MTX2, TIMM10, HK2, CHCHD3, HK1, CHCHD4, ACSL1, MTCH2, BCHE, MRPL17, GSTK1, DHCR7, NUP210, BCL2, MNS1, BDH1, ACSL6, SCO1, GPD2, SHMT2, DNM1L, IMMT, MUL1, AK2, ABCB7, MSRB3, SOD2, VDAC1, PPIF, SLC25A11, SLC25A13, TOMM70A, SLC25A10, SDHD, FAF1, HSPD1, PARP1, SLC25A15, PC	737	551	10776	2.175967218847193	1.0653644522129468E-8	2.130728926630354E-9	3.1003333234025376E-8
GOTERM_CC_FAT	GO:0005740~mitochondrial envelope	62	5.42907180385289	4.694204778418884E-10	OXA1L, GJA1, TIMM50, OGDH, ARL2BP, GOT2, EFHD1, ATP5S, SLC25A29, SYNJ2, SUOX, OPA1, NDUFB10, AIFM1, SLC25A5, TMEM70, CYB5A, CYB5B, TIMM44, LETM1, TIMM8A1, SLC25A34, SLC25A38, PEBP1, TOMM22, SLC25A39, AKAP1, MPST, APOOL, SAMM50, MTX2, TIMM10, CHCHD3, HK2, HK1, CHCHD4, ACSL1, MTCH2, MRPL17, GSTK1, BCL2, BDH1, ACSL6, SCO1, GPD2, SHMT2, DNM1L, IMMT, AK2, MUL1, ABCB7, VDAC1, SOD2, PPIF, SLC25A11, SLC25A13, TOMM70A, SLC25A10, SDHD, HSPD1, SLC25A15, PC	737	387	10776	2.3424526416543077	2.318937013523481E-7	3.8648953926134766E-8	6.748374969944848E-7
GOTERM_CC_FAT	GO:0031966~mitochondrial membrane	58	5.078809106830122	1.877159404042285E-9	OXA1L, GJA1, TIMM50, OGDH, GOT2, EFHD1, ATP5S, SLC25A29, SYNJ2, NDUFB10, OPA1, SLC25A5, TMEM70, CYB5A, CYB5B, TIMM44, LETM1, TIMM8A1, SLC25A34, SLC25A38, PEBP1, TOMM22, SLC25A39, AKAP1, MPST, APOOL, SAMM50, MTX2, TIMM10, CHCHD3, HK2, HK1, ACSL1, MTCH2, MRPL17, GSTK1, BCL2, BDH1, ACSL6, SCO1, GPD2, SHMT2, DNM1L, IMMT, AK2, MUL1, ABCB7, VDAC1, SOD2, PPIF, SLC25A11, SLC25A13, TOMM70A, SLC25A10, SDHD, HSPD1, SLC25A15, PC	737	362	10776	2.342661379191436	9.273163282808028E-7	1.324738138075432E-7	2.6985987111594056E-6
GOTERM_CC_FAT	GO:0031974~membrane-enclosed lumen	135	11.821366024518388	4.2533221063908314E-8	MRPL40, GRPEL1, MAEA, PDP2, TARS2, PDLIM1, MIPEP, MMRN1, OGDH, MED20, PDHB, TGFB2, GOT2, GTF2E1, ACSS1, LRRC59, PRKACA, IMP4, MRPL34, OPA1, FECH, SUCLG2, RAN, BYSL, TAF4B, POLE, POLB, PPARGC1B, TIMM8A1, MRPS18A, HRASLS, AKAP1, MRPL43, PCCA, LRPPRC, RAD23B, CCBL1, ACADSB, MRPS15, LMNB1, MVD, TXN2, NHP2L1, NFKBIE, FARS2, CHCHD4, BCHE, IVD, GSTK1, NPM3, UBE2D1, DNAJA3, P4HB, MKI67, GARS, TEAD1, AK2, DLAT, IDH3A, VDAC1, PPIF, B3GAT1, PLK4, MYO16, RRS1, HSPD1, PARP1, CHAF1B, PC, E2F1, HR, PDIA6, TIMM50, TAS1R2, ARL2BP, RNGTT, AKT1, MCCC2, ALAS1, CASP7, CREG1, KPNB1, TOP2A, AKT2, SUOX, MRPL3, SLC25A5, AIFM1, DDB1, NUSAP1, MCM2, DARS2, CDC5L, NDUFA10, MCM3, MCM5, RAD51, HAGH, COQ3, CCND1, LARP7, IGF2R, HIPK2, RANGRF, KPNA1, MTDH, TIMM10, STAU2, RPA1, MRPL10, PARS2, OXCT1, MRPL16, PITRM1, AATF, PRKAA2, PCSK6, NSUN2, BDH1, APEX1, PHLDA1, HSPA9, PDK1, PDK2, DLST, SHMT2, BCKDHB, IGF1, CBY1, POLR3D, SOD2, DBT, SNAI3, GCK, ALKBH3	737	1255	10776	1.5728240362836308	2.1011190910469324E-5	2.6264230070793815E-6	6.114561309500388E-5
GOTERM_CC_FAT	GO:0031090~organelle membrane	108	9.457092819614711	5.476297764247241E-8	OXA1L, SGMS2, WFS1, OGDH, SSR1, SLC35A4, HOOK1, GOT2, ST3GAL3, INSIG2, ST3GAL5, SLC2A4, SLC25A29, PDGFC, RPN2, RAB21, SCAMP5, BSG, OPA1, LETM1, TIMM8A1, SLC25A34, SLC25A38, AKAP6, ARL8B, SLC25A39, AKAP1, LRPPRC, MPST, GLG1, EXTL3, LMNB1, MTX2, CHCHD3, TRIM72, EXTL2, ECE2, MTCH2, GSTK1, GPD2, LOC501189, MUL1, AK2, ABCB7, VDAC1, PPIF, SLC25A11, SLC25A13, TOMM70A, SLC25A10, HSPD1, SLC25A15, PC, LDLR, AP1B1, GJA1, TIMM50, SYNGR1, EFHD1, TMEM109, AP1S2, ATP5S, SYNJ2, PXMP2, GNPAT, SEC24D, DHCR24, NDUFB10, SLC25A5, TMEM38A, CACNG4, TMEM70, PIGT, CYB5A, CYB5B, TIMM44, ATP6V1D, CHST1, HIPK2, PEBP1, TOMM22, CUX1, STEAP2, CYP51, APOOL, RAB3A, MTDH, SAMM50, HK2, TIMM10, HK1, ACSL1, MRPL17, DHCR7, BCL2, SEC22B, BDH1, HRC, ACSL6, PHLDA1, SCO1, SHMT2, DNM1L, IMMT, MSRB3, SOD2, SDHD, ABCC8	737	941	10776	1.6781246890847665	2.705254574697502E-5	3.005874557260313E-6	7.872706281331077E-5
