Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
SP_PIR_KEYWORDS	mitochondrion	97	8.493870402802102	6.54937082598377E-22	MRPL40, SPG7, GRPEL1, D2HGDH, PDP2, TARS2, PRDX3, MIPEP, OGDH, CLYBL, ARL2BP, HIBADH, PDHB, ACSF2, GOT2, MCCC2, ALAS1, ATP5S, SLC25A29, SYNJ2, MRPL38, LOC606294, TMEM14C, ALDH6A1, SUOX, OPA1, NUDT19, MRPL3, ALDH5A1, SLC25A5, AIFM1, MRPL9, COQ9, CYB5B, DARS2, NDUFA10, TIMM44, HAGH, COQ3, COQ2, LETM1, TIMM8A1, SLC25A34, SLC25A38, TOMM22, SLC25A39, AKAP1, LRPPRC, PCCA, MPST, CCBL1, ACADSB, BCAT2, MRPS15, SAMM50, TXN2, FARS2, TIMM10, EGLN3, MRPS10, HK1, CHCHD4, MRPL10, ACSL1, IVD, PARS2, MRPL17, GSTK1, OXCT1, BCL2, GFM1, MRPL16, GCSH, LIAS, BDH1, ACSL6, HSPA9, PDK1, GPD2, PDK2, DLST, BCKDHB, AK2, GLOD4, DLAT, ABCB7, IDH3A, SOD2, VDAC1, PPIF, SLC25A11, TOMM70A, TSFM, SDHD, HIBCH, HSPD1, PC	677	452	8979	2.846247107880943	2.9079206467367936E-19	2.9079206467367936E-19	9.273750449761232E-19
SP_PIR_KEYWORDS	transit peptide	68	5.954465849387041	1.7105780572724015E-19	MRPL40, GRPEL1, D2HGDH, TARS2, PDP2, PRDX3, MIPEP, OGDH, CLYBL, PDHB, ACSF2, HIBADH, GOT2, MCCC2, ALAS1, ATP5S, MRPL38, ALDH6A1, SUOX, OPA1, NUDT19, ALDH5A1, AIFM1, MRPL9, COQ9, DARS2, NDUFA10, TIMM44, HAGH, COQ3, COQ2, LETM1, AKAP1, LRPPRC, PCCA, CCBL1, ACADSB, BCAT2, MRPS15, TXN2, FARS2, EGLN3, MRPL10, IVD, PARS2, MRPL17, GFM1, OXCT1, MRPL16, GCSH, LIAS, BDH1, HSPA9, PDK1, GPD2, PDK2, DLST, BCKDHB, DLAT, ABCB7, IDH3A, SOD2, PPIF, TSFM, SDHD, HIBCH, HSPD1, PC	677	267	8979	3.3778235108625294	7.594966574289463E-17	3.7974832871447313E-17	2.4221370952222424E-16
SP_PIR_KEYWORDS	nucleotide-binding	109	9.544658493870402	1.002624523922428E-5	TARS2, CLPB, TTL, PRKAR2A, RALA, PRKACA, TUBG1, SAR1B, RAB21, RET, OPA1, RAN, OLA1, MAPK6, TUBA4A, RAB12, MVK, ARL8B, SEPT6, RAB10, PCCA, PRPS1, MVD, ERBB4, FARS2, MAPKAPK2, QRSL1, GFM1, SBK2, DYRK3, DCAKD, HCN2, EEF1A2, MAP2K4, GARS, AK2, ABCB7, AFG3L1, ATAD1, ABCG1, VDAC1, EPHA3, PRKAR1B, PRKAR1A, MYO16, HSPD1, MYH10, PC, ABCF1, KIF22, SPG7, ACSF2, CKB, MTHFD1, AKT1, MCCC2, LACE1, PAK4, SLC22A4, TOP2A, TUBA1B, AKT2, ARL1, RAP2A, KIF11, ACTA1, PHKG1, ERAL1, CCT6A, PFKM, DARS2, PRKCE, TIMM44, MCM5, RAD51, UBE2N, DDR1, PRKCQ, RRAS2, ADK, TNNI3K, PEBP1, RASD2, NKIRAS2, TF, RAB3A, HK2, HK1, KIT, GPHN, ACSL1, PARS2, UCK2, PRKAA2, ACSL6, HSPA9, AMHR2, PDK1, PDK2, DNM1L, ATP1A3, KIF18B, ATP1A2, RASL11B, TUBA8, GCK, GSPT1, HSPA4L, ABCC8	677	966	8979	1.4965411892070424	0.0044417811841076515	0.001482791311386067	0.01419598384782006
SP_PIR_KEYWORDS	acetylation	136	11.908931698774081	4.3422719139182914E-5	GRPEL1, THOP1, CLPB, PDLIM1, MIPEP, OGDH, ITSN1, GOT2, PRKAR2A, HIST1H2BL, RPLP1, LRRC59, SPR, NQO1, BPNT1, DDAH1, RAB21, HIGD1A, GNG7, ALDH6A1, OPA1, RAN, QDPR, OLA1, LETM1, TIMM8A1, TIMELESS, PGM1, TUBA4A, ARL8B, RAB10, LRPPRC, ME1, RAD23B, ACADSB, LMNB1, MVD, TXN2, NHP2L1, HMGCS1, CAPZB, CDC37, PLAA, HIST1H4B, IVD, GFM1, GSTK1, EIF3J, ARL6IP5, EEF1A2, FTO, GARS, AK2, DLAT, ABCB7, IDH3A, SPRYD4, ATAD1, VDAC1, HN1L, PPIF, SLC25A11, TOMM70A, PRKAR1B, PRKAR1A, RRS1, WDR1, HSPD1, PARP1, PC, MYH10, HINT3, AP1B1, ESD, PRDX3, SYNGR1, SYNGR2, NAP1L4, ACSF2, MTHFD1, BZW2, SH2D4A, MSRA, DYNLL2, PSMD1, GNPAT, KPNB1, TOP2A, ACTA1, ALDH5A1, UFD1L, SLC25A5, AIFM1, DDB1, CYB5A, CYB5B, DARS2, CDC5L, NDUFA10, UBE2N, HAGH, PRKCQ, ADK, PEBP1, IFT81, TOMM22, ALDH9A1, PYCRL, PREP, BCAT2, FKBP4, HK1, ANXA6, ACSL1, ATIC, EXOC4, SEC22B, AATF, PCMT1, UCK2, PRKAA2, BDH1, APEX1, HSPA9, DLST, DNM1L, BCKDHB, TPMT, SOD2, TUBA8, YWHAG, ATP6V1E1, AKR1B1, BRE, HIBCH, PYGB	677	1309	8979	1.3779661992365093	0.01909543339594022	0.004808428788124264	0.06146795419030848
SP_PIR_KEYWORDS	magnesium	33	2.8896672504378285	1.7261734770175765E-4	PDP2, MIPEP, CLYBL, TTL, GPHN, ACSL1, PHOSPHO2, ENO3, ENTPD6, DYRK3, PRKACA, PRKAA2, SAR1B, APEX1, BPNT1, ACSL6, AMHR2, ARL1, NUDT18, NUDT19, GDE1, NUDT3, ATP1A3, PDXP, POLB, PFKM, ATP1A2, IDH3A, PRKCQ, ADK, PGM1, TNNI3K, PRPS1	677	217	8979	2.0169424609792457	0.07378484083802939	0.0152128412079362	0.24414456253358807
SP_PIR_KEYWORDS	pyridoxal phosphate	12	1.0507880910683012	3.858381580938248E-4	GOT2, ODC1, DDC, CCBL1, SHMT2, CTH, ALAS1, BCAT2, GOT1, PHOSPHO2, PDXP, PYGB	677	45	8979	3.5367799113737077	0.15746931839040124	0.028153621036636656	0.5449526285465911
SP_PIR_KEYWORDS	sterol biosynthesis	8	0.7005253940455342	4.3202483569990265E-4	CYP51, CYB5R1, MVD, DHCR7, HMGCS1, MVK, PRKAA2, DHCR24	677	20	8979	5.305169867060561	0.174577971940017	0.027036430760322805	0.6100007779847649
SP_PIR_KEYWORDS	Cholesterol biosynthesis	7	0.6129597197898424	7.404438755545666E-4	CYP51, MVD, DHCR7, HMGCS1, MVK, PRKAA2, DHCR24	677	16	8979	5.802529542097489	0.28026979605881985	0.04027630796264625	1.0433578076181393
SP_PIR_KEYWORDS	oxidoreductase	48	4.203152364273205	9.39020930621155E-4	ME1, CYP51, STEAP3, PYCRL, D2HGDH, CYB5R1, ACADSB, EGLN3, PRDX3, OGDH, TAS1R2, PDHB, HIBADH, MTHFD1, ALDH1A2, PECR, MSRA, IVD, DHCR7, AKR7A2, SPR, NQO1, ACAD9, NSUN2, BDH1, NQO2, DHCR24, GPD2, PDK1, ALDH6A1, PDK2, SUOX, PTGR1, AIFM1, ALDH5A1, BCKDHB, QDPR, GMPR, IDH3A, SOD2, ALDH7A1, CYBB, AKR1B1, RRM1, PCYOX1, ALKBH3, ALDH9A1, DCXR	677	393	8979	1.6198991960490263	0.34105892655137415	0.04528918539522053	1.3214467631838533
SP_PIR_KEYWORDS	phosphotransferase	18	1.5761821366024518	0.0013202644212951754	PDK1, PDK2, ERBB4, PHKG1, HK2, AK2, HK1, KIT, PRKCE, PRKAR2A, GCK, MAPK6, PRKAR1B, ADK, PRKAR1A, PRKACA, MVK, PRKAA2	677	101	8979	2.363689544729953	0.44377629124601814	0.05697121432471708	1.8533086730116222
