Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0030695~GTPase regulator activity	20	3.125	0.0020987562024990317	RGD1563962, TBC1D10A, RPH3AL, ARHGAP27, DOCK5, MCF2L, ARHGAP4, MYRIP, PLEKHG2, RASGRP2, PLEKHG5, GIT2, OPHN1, RIN1, RAPGEF3, SYNGAP1, AGAP2, ARHGAP9, RASA2, ALS2CL	412	266	11963	2.1831885539090443	0.7552809164508117	0.7552809164508117	3.1007099384091408
GOTERM_MF_FAT	GO:0060589~nucleoside-triphosphatase regulator activity	20	3.125	0.0026955415887434156	RGD1563962, TBC1D10A, RPH3AL, ARHGAP27, DOCK5, MCF2L, ARHGAP4, MYRIP, PLEKHG2, RASGRP2, PLEKHG5, GIT2, OPHN1, RIN1, RAPGEF3, SYNGAP1, AGAP2, ARHGAP9, RASA2, ALS2CL	412	272	11963	2.135029982866933	0.8360922220410177	0.5951447444345297	3.9658766723875583
GOTERM_MF_FAT	GO:0004499~flavin-containing monooxygenase activity	4	0.625	0.002897145885477912	FMO6, FMO1, FMO2, FMO3	412	9	11963	12.90507011866235	0.8568561189097077	0.47689252088524536	4.25651190444275
GOTERM_MF_FAT	GO:0046982~protein heterodimerization activity	17	2.65625	0.005217286323454345	S100A4, IRAK2, JDP2, CEBPB, ATP4A, PGF, BCL2L1, FOSB, BDKRB2, SDCBP2, SYCP2, FOS, IRAK3, APOA2, BAX, GUCY1A3, MYC	412	227	11963	2.1745327402591847	0.9699451851734803	0.5836308785271538	7.542697929603048
GOTERM_MF_FAT	GO:0008289~lipid binding	23	3.5937499999999996	0.007363518425991811	RBP7, PIK3C2G, SNX14, CRABP2, PTGS1, PPARG, PRKCG, ITPR3, ANXA3, MCF2L, PRKD2, APOL3, APOA2, S1PR1, FNBP1L, BAX, EPB4.1, RASGRP2, CYP26B1, PLA2G2A, FABP4, APOL11A, FABP5	412	364	11963	1.8347180731889472	0.9929294087822144	0.6285578829916243	10.488550492709226
GOTERM_MF_FAT	GO:0003847~1-alkyl-2-acetylglycerophosphocholine esterase activity	3	0.46875	0.010990664606129123	PAFAH2, PLA2G7, PAFAH1B3	412	5	11963	17.421844660194175	0.9993914980735721	0.708899025312846	15.268791188947173
GOTERM_MF_FAT	GO:0005529~sugar binding	15	2.34375	0.01648908896506871	ACR, UAP1, LGALS3, GALNT7, OLR1, PFKFB1, LGALS9, ASGR2, GCKR, CLEC4E, SLC2A3, SIGLEC5, GFPT2, CLEC4D, REG3G	412	215	11963	2.0257958907202527	0.9999854771396652	0.7963592938212438	22.062905957388878
GOTERM_MF_FAT	GO:0004672~protein kinase activity	30	4.6875	0.018970314622591022	PRKAG3, ACVRL1, FGFR3, NUAK2, NEK3, STK38, RPS6KB2, FES, IRAK3, MAP3K6, CLK3, MAP3K2, PTK6, MAP3K8, IRAK2, SGK1, PAN3, PDK4, BMX, PRKCG, PIM3, TLE2, DAPK2, PRKD2, HIPK4, GRK4, WIF1, MERTK, TSSK3, SRMS	412	563	11963	1.5472330959319869	0.9999973267481338	0.7989148567588109	24.9592286252067
GOTERM_MF_FAT	GO:0003690~double-stranded DNA binding	9	1.40625	0.01938329626201061	MEN1, DEAF1, FOS, JDP2, ZBTB16, FOSB, MYC, WT1, KLF4	412	98	11963	2.666608876560333	0.9999979838534657	0.7671001968243825	25.431435212204757
GOTERM_MF_FAT	GO:0017076~purine nucleotide binding	72	11.25	0.020202675333898877	KIFC2, ADCY4, ACVRL1, NUAK2, STK38, FIGNL1, ADCY6, RPS6KB2, PI4K2B, SLFN3, MAP3K6, CLK3, DDX11, SULT1A1, MAP3K8, GUCY1A3, RAPGEF3, AGAP2, KIF13B, IRAK2, SGK1, PIK3C2G, MYO6, PAN3, ATP4A, SPAG1, PIM3, PRKCG, TLE2, LIG4, GEM, DAPK2, TOR2A, RND2, OAS1K, PRKD2, HIPK4, OAS1A, ARL4A, XDH, RERGL, GNAI3, FGFR3, NEK3, PFKFB1, IRAK3, FMO6, FMO1, MAP3K2, FMO2, FMO3, KIF21A, PAPSS2, RHEBL1, GIMAP6, GIMAP7, GIMAP8, PIF1, PDK4, SPHK1, BMX, ABCG3L1, ABCG2, GNAT2, AOX1, MYH11, GRK4, AOX4, MERTK, FPGS, TSSK3, SRMS	412	1634	11963	1.2794500362443704	0.9999988484388123	0.7452414889889482	26.36012166854167
