Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	rno00982:Drug metabolism	10	1.5625	6.19433118149044E-4	LOC501110, FMO1, FMO2, AOX1, FMO3, GSTT2, CYP2E1, MGST1, ALDH3A1, MGST2	189	72	5590	4.10787771898883	0.07739238679812566	0.07739238679812566	0.7189864537354707
KEGG_PATHWAY	rno04010:MAPK signaling pathway	17	2.65625	0.01660074473898979	FGFR3, PTPN5, PRKCG, MAP3K6, FOS, ARRB2, MAP3K2, RASGRP2, GADD45G, MAP3K8, PLA2G2A, CACNA1G, IL1B, CACNA1H, NFATC4, MYC, RASA2	189	266	5590	1.890241476707642	0.8865292938468928	0.6631458681371014	17.71212531115043
KEGG_PATHWAY	rno00565:Ether lipid metabolism	5	0.78125	0.02613519860982014	ENPP2, PAFAH2, PLA2G7, PAFAH1B3, PLA2G2A	189	34	5590	4.349517584811702	0.9680237882565386	0.6825984789072077	26.538229850432394
KEGG_PATHWAY	rno03320:PPAR signaling pathway	7	1.09375	0.03136444575032768	APOA2, OLR1, HMGCS2, PPARG, FABP4, FABP5, ANGPTL4	189	71	5590	2.916014606155451	0.984119916571172	0.6450123902995615	31.002846992214728
KEGG_PATHWAY	rno05219:Bladder cancer	5	0.78125	0.03152615982307216	CDKN1A, FGFR3, PGF, RASSF1, MYC	189	36	5590	4.10787771898883	0.9844608857017542	0.5652042881465805	31.13687340295127
KEGG_PATHWAY	rno04060:Cytokine-cytokine receptor interaction	13	2.03125	0.03255423078189666	ACVRL1, IL18RAP, OSMR, TNFRSF25, CCR1, IL17RA, TNFSF10, CLCF1, CSF3R, IL1B, EPOR, IFNGR1, IL22RA2	189	197	5590	1.9517632207987534	0.9864648876845796	0.5118233786599036	31.9833738447312
KEGG_PATHWAY	rno04630:Jak-STAT signaling pathway	10	1.5625	0.04379601979935856	OSMR, CLCF1, SOCS1, SPRED3, CSF3R, EPOR, BCL2L1, MYC, IFNGR1, IL22RA2	189	139	5590	2.127821552281984	0.9970380949994155	0.564692775415818	40.638943001854585
KEGG_PATHWAY	rno00980:Metabolism of xenobiotics by cytochrome P450	6	0.9375	0.05020310403882657	LOC501110, GSTT2, CYP2E1, MGST1, ALDH3A1, MGST2	189	60	5590	2.9576719576719577	0.9987640611880536	0.5669883098290356	45.109256275844785
KEGG_PATHWAY	rno04540:Gap junction	7	1.09375	0.054164321385552834	ADCY4, GNAI3, MAP3K2, ADCY6, GUCY1A3, PRKCG, ITPR3	189	81	5590	2.556012802926383	0.9992821395845511	0.55262561768551	47.716827765151784
KEGG_PATHWAY	rno04210:Apoptosis	7	1.09375	0.06551573960984876	IRAK2, IRAK3, TNFSF10, BAX, IL1B, NFKBIA, BCL2L1	189	85	5590	2.435729847494553	0.9998505971718707	0.5855846037246852	54.57483988784788
KEGG_PATHWAY	rno04350:TGF-beta signaling pathway	7	1.09375	0.06855602577975269	INHBB, ACVRL1, ID1, RPS6KB2, ID3, CHRD, MYC	189	86	5590	2.407407407407407	0.9999021916637488	0.5679950574477703	56.266407949657115
KEGG_PATHWAY	rno04730:Long-term depression	6	0.9375	0.07381140058763955	GNAI3, PLA2G2A, GUCY1A3, GRIA3, PRKCG, ITPR3	189	67	5590	2.6486614546316036	0.9999531266474699	0.5642435394257239	59.055213138821294
KEGG_PATHWAY	rno04270:Vascular smooth muscle contraction	8	1.25	0.08529015479088863	KCNMB4, ADCY4, ADCY6, PLA2G2A, MYH11, GUCY1A3, PRKCG, ITPR3	189	113	5590	2.093927049679262	0.9999907352019677	0.5899530979465333	64.59001446891308
KEGG_PATHWAY	rno00590:Arachidonic acid metabolism	6	0.9375	0.08550096392325297	ALOX15, CBR1, PTGS1, PLA2G2A, CBR3, CYP2E1	189	70	5590	2.535147392290249	0.9999910086942513	0.5639274303750514	64.68493427275371
KEGG_PATHWAY	rno04670:Leukocyte transendothelial migration	8	1.25	0.09161904221161254	GNAI3, PLCG2, CLDN5, ESAM, PRKCG, RAPGEF3, PXN, CLDN15	189	115	5590	2.0575109270761445	0.999996242986032	0.5651666413709133	67.34040933904228
