Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	calcium-binding region:2; high affinity	4	0.625	0.004812403937547847	S100A4, S100A3, S100A8, S100A9	302	9	7317	10.7682119205298	0.990302469619204	0.990302469619204	7.302773774688232
UP_SEQ_FEATURE	calcium-binding region:1; low affinity	4	0.625	0.004812403937547847	S100A4, S100A3, S100A8, S100A9	302	9	7317	10.7682119205298	0.990302469619204	0.990302469619204	7.302773774688232
UP_SEQ_FEATURE	cross-link:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO)	7	1.09375	0.00693100250336714	PLAG1, FOS, CEBPB, CEBPD, NFKBIA, KCNA5, WT1	302	42	7317	4.038079470198675	0.99874908908595	0.9646317810167085	10.356711797814565
UP_SEQ_FEATURE	domain:EF-hand 1	10	1.5625	0.007330738025531465	S100A4, S100A3, S100A6, S100A8, LPCAT1, NUCB2, S100A9, MYL1, RASGRP2, CABP1	302	84	7317	2.88434247871334	0.9991504366716323	0.9052894004391234	10.92225555283145
UP_SEQ_FEATURE	domain:Fibronectin type-III 1	8	1.25	0.007639925874659258	SNED1, PTPRF, OSMR, ROBO4, PTPRS, MERTK, VWA1, IL22RA2	302	56	7317	3.4612109744560073	0.9993702316371119	0.8415853982422083	11.357399574871717
UP_SEQ_FEATURE	domain:Fibronectin type-III 2	8	1.25	0.007639925874659258	SNED1, PTPRF, OSMR, ROBO4, PTPRS, MERTK, VWA1, IL22RA2	302	56	7317	3.4612109744560073	0.9993702316371119	0.8415853982422083	11.357399574871717
UP_SEQ_FEATURE	domain:EF-hand 2	10	1.5625	0.010593597825886984	S100A4, S100A3, S100A6, S100A8, LPCAT1, NUCB2, S100A9, MYL1, RASGRP2, CABP1	302	89	7317	2.7223007664260734	0.9999640993507216	0.8708719892650696	15.415179957394454
UP_SEQ_FEATURE	disulfide bond	68	10.625	0.01581294064987616	PGF, OSMR, PTGS1, GABBR1, SCGB1A1, ASGR2, EDNRB, CLEC4E, ROBO4, ESAM, CLEC4D, CFI, GLP2R, REG3G, VWA1, CEACAM1, HYAL2, PTPRF, PTPRS, DLL1, PLAUR, INHBB, CD38, GZMK, SSTR3, PLA2G2A, ADAMTS1, NRGN, CAR4, ACR, XDH, FMOD, MEGF8, GALNT7, ENPP2, C6, TESTIN, TIMP4, BDKRB2, GPR4, TFF3, ADRA2B, SRGN, MYOC, ANGPTL4, PLAT, OLR59, OLR1, LGALS3, RNASE4, NLGN2, NPY1R, TINAGL1, FZD4, ABCG2, LCN2, BTLA, ORM1, SEMA6B, SNED1, C1RL, WIF1, EPOR, MERTK, CHRNE, FABP5, DMBT1, IL22RA2	302	1272	7317	1.295233037610896	0.9999997773503482	0.922147899121668	22.163465203550903
UP_SEQ_FEATURE	domain:PH	9	1.40625	0.0190060157193528	PRKD2, PLCG2, PLEKHG5, OPHN1, ARHGAP27, SYNGAP1, AGAP2, MCF2L, RASA2	302	82	7317	2.659223065740591	0.9999999901970508	0.9282357570510901	26.039755775278415
UP_SEQ_FEATURE	domain:EGF-like 5	4	0.625	0.021709983428178977	MEGF8, SNED1, DLL1, WIF1	302	15	7317	6.460927152317881	0.9999999993091491	0.9283983479836528	29.18016553074527
UP_SEQ_FEATURE	repeat:2	8	1.25	0.045708661100107864	PRX, POU6F1, PLSCR1, SNCG, LGALS3, OLR1, NDRG1, SRGN	302	80	7317	2.4228476821192055	1.0	0.9932332452921916	52.0715543167742
UP_SEQ_FEATURE	repeat:1	8	1.25	0.045708661100107864	PRX, POU6F1, PLSCR1, SNCG, LGALS3, OLR1, NDRG1, SRGN	302	80	7317	2.4228476821192055	1.0	0.9932332452921916	52.0715543167742
UP_SEQ_FEATURE	lipid moiety-binding region:S-palmitoyl cysteine	11	1.7187500000000002	0.05767772355871886	ASGR2, PLSCR1, EDNRB, GNAI3, S1PR1, MC4R, GRIA3, BDKRB2, ADRA2B, KCNA5, NPY1R	302	138	7317	1.9312553987906707	1.0	0.9966843558988747	60.69697081443262
UP_SEQ_FEATURE	domain:Leucine-zipper	6	0.9375	0.07451553357279159	FOS, TSC22D3, JDP2, CEBPB, CEBPD, MYC	302	55	7317	2.6431065623118606	1.0	0.9988468515009742	70.39694517685919
UP_SEQ_FEATURE	zinc finger region:C2H2-type 3	6	0.9375	0.07921012408132215	PLAG1, PRDM9, KLF10, ZUFSP, KLF2, WT1	302	56	7317	2.5959082308420056	1.0	0.9986514836248233	72.67134440489986
UP_SEQ_FEATURE	zinc finger region:C2H2-type 1	6	0.9375	0.08405973708860881	PLAG1, PRDM9, KLF10, ZUFSP, KLF2, WT1	302	57	7317	2.550365981178111	1.0	0.998482591865405	74.84830916399707
UP_SEQ_FEATURE	domain:PAS 2	3	0.46875	0.084825862643999	HIF3A, PER2, PER1	302	12	7317	6.057119205298014	1.0	0.9977222470154609	75.17698646966245
UP_SEQ_FEATURE	domain:PAS 1	3	0.46875	0.084825862643999	HIF3A, PER2, PER1	302	12	7317	6.057119205298014	1.0	0.9977222470154609	75.17698646966245
UP_SEQ_FEATURE	domain:C-type lectin	5	0.78125	0.09905744081282616	ASGR2, CLEC4E, OLR1, REG3G, CLEC4D	302	43	7317	2.8172647466502387	1.0	0.9987480286578567	80.59753214712926
