"","test_id","gene_id","gene","locus","sample_1","sample_2","status","value_1","value_2","log2.fold_change.","test_stat","p_value","q_value","significant"
"588","XLOC_000588","XLOC_000588","Fbxo17","1:86914136-86919236","ZL","ZDF","OK",0.490613,0.0870906,-2.49399,-1.72183,0.0295,0.295956,"no"
"735","XLOC_000735","XLOC_000735","Shank1","1:100297151-100345315","ZL","ZDF","OK",0.428389,0.100565,-2.09078,-3.01012,2e-04,0.014703,"yes"
"763","XLOC_000763","XLOC_000763","Kcna7","1:101397827-101403320","ZL","ZDF","OK",1.62321,0.364048,-2.15665,-3.21885,1e-04,0.00897184,"yes"
"2175","XLOC_002175","XLOC_002175","AABR07001054.2,SNORA17","1:35741318-35996536","ZL","ZDF","OK",2.34473,0.471951,-2.31271,-2.30354,0.002,0.0673231,"no"
"2504","XLOC_002504","XLOC_002504","Cblc","1:80699036-80716146","ZL","ZDF","OK",14.0882,3.23786,-2.12138,-3.60404,5e-05,0.00520877,"yes"
"4075","XLOC_004075","XLOC_004075","LOC100911951","1:265549592-265573409","ZL","ZDF","OK",3.15265,0.414605,-2.92676,-2.93186,5e-04,0.0273396,"yes"
"5493","XLOC_005493","XLOC_005493","Acsl6","10:39655073-39719355","ZL","ZDF","OK",7.22463,1.27447,-2.50303,-4.35342,5e-05,0.00520877,"yes"
"5728","XLOC_005728","XLOC_005728","AABR07029907.2,Metazoa_SRP","10:59151683-59151985","ZL","ZDF","OK",60.1859,12.3668,-2.28296,-3.20768,5e-05,0.00520877,"yes"
"6231","XLOC_006231","XLOC_006231","2310067B10Rik","10:104305788-104358253","ZL","ZDF","OK",65.9922,14.6263,-2.17373,-2.82964,0.0097,0.164773,"no"
"6816","XLOC_006816","XLOC_006816","Slc2a4","10:56546709-56558575","ZL","ZDF","OK",166.745,28.8214,-2.53243,-3.57429,5e-05,0.00520877,"yes"
"7359","XLOC_007359","XLOC_007359","Fads6","10:103831737-103848224","ZL","ZDF","OK",15.817,3.49089,-2.17981,-4.35281,5e-05,0.00520877,"yes"
"8731","XLOC_008731","XLOC_008731","Bdh1","11:72577437-72614888","ZL","ZDF","OK",47.1438,8.72288,-2.43419,-4.76474,5e-05,0.00520877,"yes"
