"","test_id","gene_id","gene","locus","sample_1","sample_2","status","value_1","value_2","log2.fold_change.","test_stat","p_value","q_value","significant"
"60","XLOC_000060","XLOC_000060","Il22ra2","1:15093598-15106954","ZL","ZDF","OK",0.262508,1.04228,1.98931,2.59852,0.0016,0.05794,"no"
"457","XLOC_000457","XLOC_000457","Mill1","1:79631667-79657943","ZL","ZDF","OK",0.684452,2.7179,1.98947,3.12895,5e-05,0.00520877,"yes"
"478","XLOC_000478","XLOC_000478","Fosb","1:80214493-80221710","ZL","ZDF","OK",2.25514,8.26337,1.87351,2.20939,0.00295,0.0810549,"no"
"495","XLOC_000495","XLOC_000495","Kcnn4","1:81230611-81245996","ZL","ZDF","OK",1.68409,4.97712,1.56334,2.42999,0.00125,0.0495961,"yes"
"628","XLOC_000628","XLOC_000628","Prodh2","1:88955134-88968501","ZL","ZDF","OK",0.242949,0.738691,1.60432,1.50823,0.03625,0.322364,"no"
"635","XLOC_000635","XLOC_000635","Atp4a","1:89162638-89175843","ZL","ZDF","OK",0.751548,7.25049,3.27014,3.24718,5e-05,0.00520877,"yes"
"1039","XLOC_001039","XLOC_001039","Mogat2","1:164181247-164206037","ZL","ZDF","OK",0.953312,3.53493,1.89066,2.27658,0.00525,0.114371,"no"
"1059","XLOC_001059","XLOC_001059","Dnajb13","1:165515725-165530095","ZL","ZDF","OK",0.0414019,0.612247,3.88635,2.5274,0.0273,0.285345,"no"
"1249","XLOC_001249","XLOC_001249","Pik3c2a","1:185210921-185326314","ZL","ZDF","OK",3.59839,10.9279,1.6026,3.25085,5e-05,0.00520877,"yes"
"1299","XLOC_001299","XLOC_001299","Tnrc6a","1:193076429-193146405","ZL","ZDF","OK",6.46646,18.3215,1.50249,2.79469,3e-04,0.019395,"yes"
"1431","XLOC_001431","XLOC_001431","AABR07005985.2","1:212146247-212148936","ZL","ZDF","OK",6.73367,19.519,1.53541,2.73302,0.00015,0.0121666,"yes"
"1475","XLOC_001475","XLOC_001475","Cracr2b","1:214005790-214008973","ZL","ZDF","OK",0.140663,0.540475,1.94198,1.79491,0.0297,0.297827,"no"
"1485","XLOC_001485","XLOC_001485","Eps8l2","1:214328070-214353461","ZL","ZDF","OK",0.452147,1.63402,1.85356,3.01238,2e-04,0.014703,"yes"
"1504","XLOC_001504","XLOC_001504","Syt8,Tnni2","1:215602213-215611658","ZL","ZDF","OK",1.53519,6.74241,2.13485,2.90214,5e-05,0.00520877,"yes"
"1876","XLOC_001876","XLOC_001876","Lcor","1:260732484-260835778","ZL","ZDF","OK",11.9399,37.4537,1.64932,5.79478,0.0063,0.127397,"no"
"1997","XLOC_001997","XLOC_001997","Eno4","1:280103694-280127073","ZL","ZDF","OK",0.246186,0.825562,1.74563,2.14079,0.00535,0.11518,"no"
"2340","XLOC_002340","XLOC_002340","Cnot3","1:64126866-64147251","ZL","ZDF","OK",9.08281,127.431,3.81043,8.10925,5e-05,0.00520877,"yes"
"2475","XLOC_002475","XLOC_002475","Hif3a","1:78971824-78997869","ZL","ZDF","OK",0.126969,3.64545,4.84355,6.35756,5e-05,0.00520877,"yes"
"2536","XLOC_002536","XLOC_002536","Cxcl17,Lipe","1:82247861-82279529","ZL","ZDF","OK",31.1983,98.9736,1.66557,2.72199,0.00065,0.0330733,"yes"
"2813","XLOC_002813","XLOC_002813","Ptpn5","1:103197914-103256823","ZL","ZDF","OK",0.14818,0.494846,1.73963,2.02583,0.01075,0.174904,"no"
"3013","XLOC_003013","XLOC_003013","Pex11a","1:141474179-141481315","ZL","ZDF","OK",2.32909,11.271,2.27478,4.06356,5e-05,0.00520877,"yes"
"3158","XLOC_003158","XLOC_003158","Dnajb13","1:165515725-165530095","ZL","ZDF","OK",0.153159,0.484966,1.66285,1.79005,0.0208,0.25135,"no"
"3452","XLOC_003452","XLOC_003452","SNORD64","1:195060541-195072182","ZL","ZDF","OK",7.81466,23.4723,1.5867,2.51301,3e-04,0.019395,"yes"
"3478","XLOC_003478","XLOC_003478","Sult1a1","1:198066997-198104109","ZL","ZDF","OK",15.1936,162.052,3.41492,5.1567,5e-05,0.00520877,"yes"
"3641","XLOC_003641","XLOC_003641","Ifitm10","1:215515763-215539385","ZL","ZDF","OK",4.51421,19.4374,2.10629,2.51288,0.00015,0.0121666,"yes"
"3798","XLOC_003798","XLOC_003798","Scgb1a1","1:225279675-225283326","ZL","ZDF","OK",0.210979,2.5035,3.56878,2.39725,0.0267,0.282568,"no"
"5591","XLOC_005591","XLOC_005591","Aldh3a1","10:47490152-47499876","ZL","ZDF","OK",0.821827,2.55034,1.63379,2.52268,0.0012,0.0484875,"yes"
"5972","XLOC_005972","XLOC_005972","Tac4","10:83081167-83089481","ZL","ZDF","OK",0.142937,0.76963,2.42879,1.91522,0.03725,0.325564,"no"
"6032","XLOC_006032","XLOC_006032","Pnmt","10:86340939-86342858","ZL","ZDF","OK",0.229062,0.814935,1.83095,1.70608,0.03575,0.320351,"no"
"6105","XLOC_006105","XLOC_006105","Cd300lg","10:89976463-89996178","ZL","ZDF","OK",16.7745,54.367,1.69646,3.32041,5e-05,0.00520877,"yes"
"6475","XLOC_006475","XLOC_006475","Msln","10:15119662-15125408","ZL","ZDF","OK",0.18344,0.663484,1.85475,1.95235,0.0123,0.190399,"no"
"6769","XLOC_006769","XLOC_006769","Glp2r","10:54257298-54323439","ZL","ZDF","OK",0.130216,0.642339,2.30243,2.74368,5e-04,0.0273396,"yes"
"6829","XLOC_006829","XLOC_006829","Chrne","10:57238945-57246594","ZL","ZDF","OK",1.73716,5.02514,1.53243,2.46383,0.00075,0.0360739,"yes"
"7161","XLOC_007161","XLOC_007161","Krt12","10:87328548-87335823","ZL","ZDF","OK",0.228062,1.33885,2.55349,2.86359,0.00065,0.0330733,"yes"
"7198","XLOC_007198","XLOC_007198","Krt14,Krt17,Krt19","10:88055822-88163723","ZL","ZDF","OK",0.231359,0.696771,1.59055,1.49157,0.03785,0.32781,"no"
"7278","XLOC_007278","XLOC_007278","Gm884","10:91610626-91687743","ZL","ZDF","OK",2.1667,7.4147,1.77489,3.39778,5e-05,0.00520877,"yes"
"8020","XLOC_008020","XLOC_008020","Mrap","11:30904732-30915225","ZL","ZDF","OK",0.169916,1.28738,2.92155,2.38205,0.03915,0.333678,"no"
"8041","XLOC_008041","XLOC_008041","Cbr1,LOC102556347","11:33812661-33865933","ZL","ZDF","OK",5.90102,17.098,1.53479,2.91779,1e-04,0.00897184,"yes"
"8048","XLOC_008048","XLOC_008048","Dopey2","11:33925497-34027445","ZL","ZDF","OK",7.82379,22.3809,1.51633,2.30919,0.00125,0.0495961,"yes"
"9354","XLOC_009354","XLOC_009354","LOC681182","12:20882343-20890965","ZL","ZDF","OK",0.101708,0.359641,1.82213,1.80323,0.0212,0.253443,"no"
"9399","XLOC_009399","XLOC_009399","AABR07035819.1","12:23596980-23624340","ZL","ZDF","OK",2.17425,77.2974,5.15183,0.172674,0.04485,0.355389,"no"
"9536","XLOC_009536","XLOC_009536","Oas1a","12:41200717-41211909","ZL","ZDF","OK",3.44739,35.4853,3.36364,6.26932,5e-05,0.00520877,"yes"
