"","test_id","gene_id","gene","locus","sample_1","sample_2","status","value_1","value_2","log2.fold_change.","test_stat","p_value","q_value","significant"
"1","XLOC_000001","XLOC_000001","Vom2r3","1:396699-409676","ZL","ZDF","NOTEST",0,0,0,0,1,1,"no"
"2","XLOC_000002","XLOC_000002","LOC100909608","1:699412-708065","ZL","ZDF","NOTEST",0,0,0,0,1,1,"no"
"3","XLOC_000003","XLOC_000003","SNORA32","1:1101750-1116926","ZL","ZDF","NOTEST",0,0,0,0,1,1,"no"
"4","XLOC_000004","XLOC_000004","AABR07000121.1","1:1180931-1220916","ZL","ZDF","OK",3.37827,4.68429,0.471543,0.71824,0.21175,0.646859,"no"
"5","XLOC_000005","XLOC_000005","AABR07000156.1","1:1545133-1546169","ZL","ZDF","NOTEST",0,0,0,0,1,1,"no"
"6","XLOC_000006","XLOC_000006","LOC679782","1:1617384-1619634","ZL","ZDF","NOTEST",0,0,0,0,1,1,"no"
"7","XLOC_000007","XLOC_000007","Lrp11","1:1671297-1731364","ZL","ZDF","OK",15.4291,28.371,0.878768,1.0403,0.14815,0.570013,"no"
"8","XLOC_000008","XLOC_000008","Nup43","1:1771539-1784053","ZL","ZDF","OK",6.42775,2.79846,-1.19968,-2.03603,0.00725,0.13906,"no"
"9","XLOC_000009","XLOC_000009","Lats1","1:1784077-1817322","ZL","ZDF","OK",4.68271,5.93131,0.341008,0.721403,0.2998,0.717818,"no"
"10","XLOC_000010","XLOC_000010","Katna1","1:1825871-1867787","ZL","ZDF","OK",4.4595,4.75254,0.0918184,0.168875,0.80915,0.951255,"no"
"11","XLOC_000011","XLOC_000011","AABR07000159.3","1:1870387-1886209","ZL","ZDF","NOTEST",0,0,0,0,1,1,"no"
"12","XLOC_000012","XLOC_000012","Ppil4","1:1897337-1929763","ZL","ZDF","OK",5.49706,5.25643,-0.0645764,-0.137984,0.8461,0.96025,"no"
"13","XLOC_000013","XLOC_000013","Zc3h12d","1:1938418-1972918","ZL","ZDF","OK",0.419265,0.545619,0.380032,0.562753,0.41995,0.811367,"no"
"14","XLOC_000014","XLOC_000014","U6","1:2720298-2720403","ZL","ZDF","NOTEST",0,0,0,0,1,1,"no"
"15","XLOC_000015","XLOC_000015","SNORA17","1:4731936-4732067","ZL","ZDF","NOTEST",0,0,0,0,1,1,"no"
"16","XLOC_000016","XLOC_000016","Shprh","1:5240179-5313187","ZL","ZDF","OK",2.94129,3.8887,0.402841,0.760784,0.28165,0.704923,"no"
"17","XLOC_000017","XLOC_000017","Fbxo30","1:5366144-5390227","ZL","ZDF","OK",5.78661,3.78708,-0.611634,-1.2623,0.07465,0.432836,"no"
"18","XLOC_000018","XLOC_000018","Epm2a","1:5448889-5573754","ZL","ZDF","OK",3.79644,1.53199,-1.30924,-2.53264,8e-04,0.037335,"yes"
"19","XLOC_000019","XLOC_000019","SNORA17","1:5740143-5740273","ZL","ZDF","NOTEST",0,0,0,0,1,1,"no"
"20","XLOC_000020","XLOC_000020","SNORA31","1:6038600-6038727","ZL","ZDF","NOTEST",0,0,0,0,1,1,"no"
"21","XLOC_000021","XLOC_000021","SNORA73","1:6440054-6440244","ZL","ZDF","NOTEST",0,0,0,0,1,1,"no"
"22","XLOC_000022","XLOC_000022","Sf3b5","1:7101714-7102426","ZL","ZDF","OK",52.0933,49.7036,-0.0677457,-0.143796,0.8369,0.958369,"no"
"23","XLOC_000023","XLOC_000023","AABR07000257.2","1:7171506-7171614","ZL","ZDF","NOTEST",0,0,0,0,1,1,"no"
"24","XLOC_000024","XLOC_000024","Plagl1","1:7239993-7259523","ZL","ZDF","OK",0.744477,1.58633,1.0914,1.94664,0.00795,0.145989,"no"
"25","XLOC_000025","XLOC_000025","AABR07000261.1","1:7294026-7322455","ZL","ZDF","NOTEST",0,0,0,0,1,1,"no"
"26","XLOC_000026","XLOC_000026","Fuca2","1:7658889-7673836","ZL","ZDF","OK",22.685,15.9045,-0.512301,-1.01906,0.14035,0.557449,"no"
"27","XLOC_000027","XLOC_000027","Adat2","1:7726502-7745124","ZL","ZDF","OK",2.16881,3.28125,0.597341,1.07511,0.12255,0.532998,"no"
"28","XLOC_000028","XLOC_000028","Hivep2","1:8310576-8333885","ZL","ZDF","OK",2.54097,3.45905,0.444996,0.968159,0.1584,0.586357,"no"
