"","test_id","gene_id","gene","locus","sample_1","sample_2","status","value_1","value_2","log2.fold_change.","test_stat","p_value","q_value","significant"
"24","XLOC_000024","XLOC_000024","Plagl1","1:7239993-7259523","ZL","ZDF","OK",0.744477,1.58633,1.0914,1.94664,0.00795,0.145989,"no"
"59","XLOC_000059","XLOC_000059","Ifngr1","1:15062256-15082126","ZL","ZDF","OK",40.7086,69.0111,0.761492,1.4552,0.03725,0.325564,"no"
"60","XLOC_000060","XLOC_000060","Il22ra2","1:15093598-15106954","ZL","ZDF","OK",0.262508,1.04228,1.98931,2.59852,0.0016,0.05794,"no"
"256","XLOC_000256","XLOC_000256","LOC688452","1:59700203-59719686","ZL","ZDF","OK",3.13973,7.37299,1.23161,1.70856,0.00475,0.107639,"no"
"271","XLOC_000271","XLOC_000271","Zfp677","1:61258751-61278643","ZL","ZDF","OK",2.63233,5.19508,0.980805,1.71756,0.0132,0.198189,"no"
"272","XLOC_000272","XLOC_000272","Zfp54","1:61286359-61338609","ZL","ZDF","OK",1.64573,3.78166,1.20029,1.9506,0.0078,0.144441,"no"
"273","XLOC_000273","XLOC_000273","AABR07001899.1,Zfp52","1:61349522-61509765","ZL","ZDF","OK",7.35876,14.4941,0.977928,1.70163,0.0254,0.275712,"no"
"314","XLOC_000314","XLOC_000314","Mzf1","1:65521085-65533212","ZL","ZDF","OK",0.567235,1.55422,1.45418,2.44589,0.001,0.0438743,"yes"
"349","XLOC_000349","XLOC_000349","Hiat1","1:69788608-69820983","ZL","ZDF","OK",3.7625,6.67152,0.826323,1.68145,0.0168,0.224487,"no"
"356","XLOC_000356","XLOC_000356","Peg3","1:70210845-70237448","ZL","ZDF","OK",5.31747,9.99178,0.910002,1.72702,0.0153,0.214757,"no"
"397","XLOC_000397","XLOC_000397","Ppp1r12c","1:72903256-72926273","ZL","ZDF","OK",30.5745,55.9988,0.873066,1.58265,0.0254,0.275712,"no"
"442","XLOC_000442","XLOC_000442","Prkd2","1:78767345-78796241","ZL","ZDF","OK",9.33346,16.7856,0.846743,1.80033,0.01185,0.186453,"no"
"457","XLOC_000457","XLOC_000457","Mill1","1:79631667-79657943","ZL","ZDF","OK",0.684452,2.7179,1.98947,3.12895,5e-05,0.00520877,"yes"
"460","XLOC_000460","XLOC_000460","Micb","1:79754586-79775110","ZL","ZDF","OK",1.14368,2.18908,0.93665,1.62705,0.0214,0.254542,"no"
"474","XLOC_000474","XLOC_000474","Gpr4","1:80125635-80137520","ZL","ZDF","OK",13.4299,32.2008,1.26165,2.23785,0.00205,0.0679654,"no"
"478","XLOC_000478","XLOC_000478","Fosb","1:80214493-80221710","ZL","ZDF","OK",2.25514,8.26337,1.87351,2.20939,0.00295,0.0810549,"no"
"495","XLOC_000495","XLOC_000495","Kcnn4","1:81230611-81245996","ZL","ZDF","OK",1.68409,4.97712,1.56334,2.42999,0.00125,0.0495961,"yes"
"497","XLOC_000497","XLOC_000497","Plaur","1:81328082-81345286","ZL","ZDF","OK",3.16281,6.24899,0.982414,1.71066,0.01785,0.230529,"no"
"518","XLOC_000518","XLOC_000518","Megf8","1:82184849-82236179","ZL","ZDF","OK",9.21594,16.5334,0.843184,1.46602,0.03915,0.333678,"no"
"549","XLOC_000549","XLOC_000549","Prx","1:84304227-84325406","ZL","ZDF","OK",1.42172,2.9178,1.03724,2.17137,0.0032,0.083937,"no"
"550","XLOC_000550","XLOC_000550","Hipk4","1:84328113-84338706","ZL","ZDF","OK",1.32943,3.39204,1.35134,2.39025,0.00095,0.0425294,"yes"
"574","XLOC_000574","XLOC_000574","Plekhg2","1:85386462-85399737","ZL","ZDF","OK",8.65842,14.1598,0.709623,1.4426,0.04095,0.340568,"no"
"628","XLOC_000628","XLOC_000628","Prodh2","1:88955134-88968501","ZL","ZDF","OK",0.242949,0.738691,1.60432,1.50823,0.03625,0.322364,"no"
"635","XLOC_000635","XLOC_000635","Atp4a","1:89162638-89175843","ZL","ZDF","OK",0.751548,7.25049,3.27014,3.24718,5e-05,0.00520877,"yes"
"639","XLOC_000639","XLOC_000639","Lgi4","1:89491609-89509343","ZL","ZDF","OK",2.85939,4.73675,0.728192,1.43058,0.04615,0.361133,"no"
"700","XLOC_000700","XLOC_000700","AABR07003187.2","1:98643964-98646900","ZL","ZDF","OK",1.03408,2.83981,1.45745,2.11716,0.0037,0.0923152,"no"
"774","XLOC_000774","XLOC_000774","Rasip1","1:101610720-101621662","ZL","ZDF","OK",31.8737,56.1047,0.815755,1.40567,0.04345,0.350872,"no"
"921","XLOC_000921","XLOC_000921","Isg20","1:140601790-140608946","ZL","ZDF","OK",3.16554,6.72753,1.08763,1.83115,0.01275,0.194894,"no"
"948","XLOC_000948","XLOC_000948","Slc28a1","1:142950300-142992615","ZL","ZDF","OK",0.779036,1.44783,0.89413,1.45347,0.0398,0.335575,"no"
"997","XLOC_000997","XLOC_000997","Fzd4","1:153589470-153598375","ZL","ZDF","OK",11.1623,21.9249,0.97393,1.87803,0.00735,0.140122,"no"
"1039","XLOC_001039","XLOC_001039","Mogat2","1:164181247-164206037","ZL","ZDF","OK",0.953312,3.53493,1.89066,2.27658,0.00525,0.114371,"no"
"1053","XLOC_001053","XLOC_001053","Kcne3","1:165189984-165201670","ZL","ZDF","OK",0.695767,1.73275,1.31639,1.53503,0.03215,0.30739,"no"
"1059","XLOC_001059","XLOC_001059","Dnajb13","1:165515725-165530095","ZL","ZDF","OK",0.0414019,0.612247,3.88635,2.5274,0.0273,0.285345,"no"
"1091","XLOC_001091","XLOC_001091","Olr63","1:167864364-167874317","ZL","ZDF","OK",2.41356,4.86641,1.01169,1.44669,0.03415,0.315132,"no"
"1249","XLOC_001249","XLOC_001249","Pik3c2a","1:185210921-185326314","ZL","ZDF","OK",3.59839,10.9279,1.6026,3.25085,5e-05,0.00520877,"yes"
"1260","XLOC_001260","XLOC_001260","Ccp110","1:188420460-188444996","ZL","ZDF","OK",1.00785,1.70706,0.760241,1.47894,0.03625,0.322364,"no"
"1281","XLOC_001281","XLOC_001281","Vwa3a","1:190681093-190742583","ZL","ZDF","OK",0.73675,1.45316,0.979949,1.48519,0.03765,0.327367,"no"
"1299","XLOC_001299","XLOC_001299","Tnrc6a","1:193076429-193146405","ZL","ZDF","OK",6.46646,18.3215,1.50249,2.79469,3e-04,0.019395,"yes"
"1323","XLOC_001323","XLOC_001323","Ypel3","1:198210524-198213962","ZL","ZDF","OK",47.5058,87.624,0.883223,1.7547,0.01435,0.207382,"no"
"1324","XLOC_001324","XLOC_001324","Tbx6","1:198214796-198218706","ZL","ZDF","OK",0.747817,1.7487,1.22553,1.41598,0.04285,0.348588,"no"
"1326","XLOC_001326","XLOC_001326","Fam57b","1:198241480-198265843","ZL","ZDF","OK",7.09338,15.5929,1.13634,2.07792,0.0034,0.0872058,"no"
"1350","XLOC_001350","XLOC_001350","Fbxl19","1:199196038-199216920","ZL","ZDF","OK",2.89693,4.77779,0.72182,1.47953,0.0352,0.318933,"no"
"1377","XLOC_001377","XLOC_001377","Dmbt1","1:201660041-201689847","ZL","ZDF","OK",0.473992,0.915555,0.949784,1.44718,0.04205,0.345146,"no"
"1431","XLOC_001431","XLOC_001431","AABR07005985.2","1:212146247-212148936","ZL","ZDF","OK",6.73367,19.519,1.53541,2.73302,0.00015,0.0121666,"yes"
"1459","XLOC_001459","XLOC_001459","Cyp2e1","1:213511873-213535542","ZL","ZDF","OK",8.55847,15.2937,0.83751,1.52702,0.02765,0.287364,"no"
"1475","XLOC_001475","XLOC_001475","Cracr2b","1:214005790-214008973","ZL","ZDF","OK",0.140663,0.540475,1.94198,1.79491,0.0297,0.297827,"no"
"1485","XLOC_001485","XLOC_001485","Eps8l2","1:214328070-214353461","ZL","ZDF","OK",0.452147,1.63402,1.85356,3.01238,2e-04,0.014703,"yes"
"1504","XLOC_001504","XLOC_001504","Syt8,Tnni2","1:215602213-215611658","ZL","ZDF","OK",1.53519,6.74241,2.13485,2.90214,5e-05,0.00520877,"yes"
"1511","XLOC_001511","XLOC_001511","Slc22a18","1:216676361-216700641","ZL","ZDF","OK",6.7116,11.5614,0.784585,1.62473,0.02185,0.256837,"no"
"1546","XLOC_001546","XLOC_001546","Clcf1","1:219468674-219472654","ZL","ZDF","OK",0.858415,2.3507,1.45334,1.90679,0.00865,0.153088,"no"
"1561","XLOC_001561","XLOC_001561","Rin1","1:220335253-220342297","ZL","ZDF","OK",0.376896,0.700437,0.894089,1.44463,0.0437,0.351599,"no"
"1602","XLOC_001602","XLOC_001602","Men1","1:221704452-221710344","ZL","ZDF","OK",8.35008,14.035,0.749163,1.55352,0.02805,0.289604,"no"
"1606","XLOC_001606","XLOC_001606","Rasgrp2","1:221772573-221788765","ZL","ZDF","OK",3.57158,9.93497,1.47595,3.05827,5e-05,0.00520877,"yes"
"1740","XLOC_001740","XLOC_001740","Gcnt1","1:236547583-236585040","ZL","ZDF","OK",6.14073,12.036,0.970879,2.01972,0.00445,0.103728,"no"
"1808","XLOC_001808","XLOC_001808","Papss2","1:251145252-251230833","ZL","ZDF","OK",5.01944,8.42305,0.746817,1.59494,0.02295,0.263565,"no"
"1834","XLOC_001834","XLOC_001834","Hectd2","1:255185628-255254307","ZL","ZDF","OK",3.61949,7.56748,1.06402,2.14123,0.00225,0.0697563,"no"
"1844","XLOC_001844","XLOC_001844","Hhex","1:256101902-256107685","ZL","ZDF","OK",4.16222,7.46645,0.843069,1.71594,0.01635,0.221299,"no"
"1876","XLOC_001876","XLOC_001876","Lcor","1:260732484-260835778","ZL","ZDF","OK",11.9399,37.4537,1.64932,5.79478,0.0063,0.127397,"no"
"1936","XLOC_001936","XLOC_001936","Wbp1l","1:266358726-266415579","ZL","ZDF","OK",15.1405,26.3317,0.798391,1.58328,0.0232,0.264639,"no"
"1974","XLOC_001974","XLOC_001974","Tcf7l2","1:276659541-276730519","ZL","ZDF","OK",5.89337,10.4139,0.821342,1.72592,0.0165,0.222371,"no"
"1997","XLOC_001997","XLOC_001997","Eno4","1:280103694-280127073","ZL","ZDF","OK",0.246186,0.825562,1.74563,2.14079,0.00535,0.11518,"no"
"2131","XLOC_002131","XLOC_002131","Sgk1","1:24185434-24302298","ZL","ZDF","OK",7.71937,14.3095,0.89042,1.91894,0.0069,0.135177,"no"
"2164","XLOC_002164","XLOC_002164","Lpcat1","1:32379431-32429917","ZL","ZDF","OK",5.53201,9.62971,0.799687,1.71625,0.0151,0.213175,"no"
"2205","XLOC_002205","XLOC_002205","Syne1","1:41832829-42086601","ZL","ZDF","OK",1.31951,2.21609,0.748015,1.47157,0.0381,0.328809,"no"
"2296","XLOC_002296","XLOC_002296","Dll1","1:57318707-57327379","ZL","ZDF","OK",2.00398,4.71443,1.23422,2.27122,0.0011,0.0464983,"yes"
"2299","XLOC_002299","XLOC_002299","Prdm9","1:57533576-57555048","ZL","ZDF","OK",1.06988,2.61344,1.2885,1.73153,0.019,0.239472,"no"
"2307","XLOC_002307","XLOC_002307","Has1","1:59720508-59732409","ZL","ZDF","OK",0.681346,1.37093,1.0087,1.48663,0.0381,0.328809,"no"
"2340","XLOC_002340","XLOC_002340","Cnot3","1:64126866-64147251","ZL","ZDF","OK",9.08281,127.431,3.81043,8.10925,5e-05,0.00520877,"yes"
"2346","XLOC_002346","XLOC_002346","Prkcg","1:64407099-64433636","ZL","ZDF","OK",3.0677,5.42368,0.822115,1.50856,0.03175,0.305827,"no"
"2365","XLOC_002365","XLOC_002365","Zfp110","1:65741572-65757229","ZL","ZDF","OK",9.6725,15.6353,0.692847,1.47494,0.0361,0.322364,"no"
"2391","XLOC_002391","XLOC_002391","Aurkc","1:69958451-69965711","ZL","ZDF","OK",5.18968,12.3727,1.25345,2.39635,0.00095,0.0425294,"yes"
"2440","XLOC_002440","XLOC_002440","Lilrb4","1:73393843-73399579","ZL","ZDF","OK",1.24393,2.49724,1.00543,1.58683,0.02425,0.270167,"no"
