"","test_id","gene_id","gene","locus","sample_1","sample_2","status","value_1","value_2","log2.fold_change.","test_stat","p_value","q_value","significant"
"635","XLOC_000635","XLOC_000635","Atp4a","1:89162638-89175843","ZL","ZDF","OK",0.751548,7.25049,3.27014,3.24718,5e-05,0.00520877,"yes"
"1059","XLOC_001059","XLOC_001059","Dnajb13","1:165515725-165530095","ZL","ZDF","OK",0.0414019,0.612247,3.88635,2.5274,0.0273,0.285345,"no"
"1504","XLOC_001504","XLOC_001504","Syt8,Tnni2","1:215602213-215611658","ZL","ZDF","OK",1.53519,6.74241,2.13485,2.90214,5e-05,0.00520877,"yes"
"2340","XLOC_002340","XLOC_002340","Cnot3","1:64126866-64147251","ZL","ZDF","OK",9.08281,127.431,3.81043,8.10925,5e-05,0.00520877,"yes"
"2475","XLOC_002475","XLOC_002475","Hif3a","1:78971824-78997869","ZL","ZDF","OK",0.126969,3.64545,4.84355,6.35756,5e-05,0.00520877,"yes"
"3013","XLOC_003013","XLOC_003013","Pex11a","1:141474179-141481315","ZL","ZDF","OK",2.32909,11.271,2.27478,4.06356,5e-05,0.00520877,"yes"
"3478","XLOC_003478","XLOC_003478","Sult1a1","1:198066997-198104109","ZL","ZDF","OK",15.1936,162.052,3.41492,5.1567,5e-05,0.00520877,"yes"
"3641","XLOC_003641","XLOC_003641","Ifitm10","1:215515763-215539385","ZL","ZDF","OK",4.51421,19.4374,2.10629,2.51288,0.00015,0.0121666,"yes"
"3798","XLOC_003798","XLOC_003798","Scgb1a1","1:225279675-225283326","ZL","ZDF","OK",0.210979,2.5035,3.56878,2.39725,0.0267,0.282568,"no"
"5972","XLOC_005972","XLOC_005972","Tac4","10:83081167-83089481","ZL","ZDF","OK",0.142937,0.76963,2.42879,1.91522,0.03725,0.325564,"no"
"6769","XLOC_006769","XLOC_006769","Glp2r","10:54257298-54323439","ZL","ZDF","OK",0.130216,0.642339,2.30243,2.74368,5e-04,0.0273396,"yes"
"7161","XLOC_007161","XLOC_007161","Krt12","10:87328548-87335823","ZL","ZDF","OK",0.228062,1.33885,2.55349,2.86359,0.00065,0.0330733,"yes"
"8020","XLOC_008020","XLOC_008020","Mrap","11:30904732-30915225","ZL","ZDF","OK",0.169916,1.28738,2.92155,2.38205,0.03915,0.333678,"no"
"9399","XLOC_009399","XLOC_009399","AABR07035819.1","12:23596980-23624340","ZL","ZDF","OK",2.17425,77.2974,5.15183,0.172674,0.04485,0.355389,"no"
"9536","XLOC_009536","XLOC_009536","Oas1a","12:41200717-41211909","ZL","ZDF","OK",3.44739,35.4853,3.36364,6.26932,5e-05,0.00520877,"yes"
"9885","XLOC_009885","XLOC_009885","Wbscr28","12:24803685-24809844","ZL","ZDF","OK",0.384711,1.8157,2.23868,2.69922,0.00205,0.0679654,"no"
"9992","XLOC_009992","XLOC_009992","Oas1k","12:41227824-41307393","ZL","ZDF","OK",4.57575,57.2795,3.64594,6.67445,5e-05,0.00520877,"yes"
"10696","XLOC_010696","XLOC_010696","Apoa2","13:89597137-89598802","ZL","ZDF","OK",0,0.385445,Inf,NA,0.0096,0.163834,"no"
"11134","XLOC_011134","XLOC_011134","Fmo2","13:80749554-80775315","ZL","ZDF","OK",13.1417,59.8997,2.18839,2.95437,0.00025,0.0171727,"yes"
"12210","XLOC_012210","XLOC_012210","Dmp1","14:6889855-6902081","ZL","ZDF","OK",0.75653,3.04889,2.01081,3.54185,5e-05,0.00520877,"yes"
"12554","XLOC_012554","XLOC_012554","Fgfr3","14:82272319-82287706","ZL","ZDF","OK",3.46865,14.6603,2.07947,4.2433,5e-05,0.00520877,"yes"
"13047","XLOC_013047","XLOC_013047","Fam107a","15:18399514-18415965","ZL","ZDF","OK",3.52329,17.5718,2.31826,4.86629,5e-05,0.00520877,"yes"
