"","test_id","gene_id","gene","locus","sample_1","sample_2","status","value_1","value_2","log2.fold_change.","test_stat","p_value","q_value","significant"
"8","XLOC_000008","XLOC_000008","Nup43","1:1771539-1784053","ZL","ZDF","OK",6.42775,2.79846,-1.19968,-2.03603,0.00725,0.13906,"no"
"18","XLOC_000018","XLOC_000018","Epm2a","1:5448889-5573754","ZL","ZDF","OK",3.79644,1.53199,-1.30924,-2.53264,8e-04,0.037335,"yes"
"24","XLOC_000024","XLOC_000024","Plagl1","1:7239993-7259523","ZL","ZDF","OK",0.744477,1.58633,1.0914,1.94664,0.00795,0.145989,"no"
"48","XLOC_000048","XLOC_000048","Txlnb","1:12915681-12962353","ZL","ZDF","OK",56.6342,23.7268,-1.25515,-2.03866,0.0053,0.115004,"no"
"51","XLOC_000051","XLOC_000051","Nhsl1","1:13570053-13705396","ZL","ZDF","OK",4.49135,2.26018,-0.990713,-2.07892,0.00245,0.0719966,"no"
"59","XLOC_000059","XLOC_000059","Ifngr1","1:15062256-15082126","ZL","ZDF","OK",40.7086,69.0111,0.761492,1.4552,0.03725,0.325564,"no"
"60","XLOC_000060","XLOC_000060","Il22ra2","1:15093598-15106954","ZL","ZDF","OK",0.262508,1.04228,1.98931,2.59852,0.0016,0.05794,"no"
"70","XLOC_000070","XLOC_000070","Ahi1","1:16478110-16601769","ZL","ZDF","OK",2.28879,1.15339,-0.988705,-1.80771,0.01075,0.174904,"no"
"115","XLOC_000115","XLOC_000115","Hey2","1:29191191-29201531","ZL","ZDF","OK",3.79829,2.073,-0.873628,-1.71235,0.015,0.212308,"no"
"118","XLOC_000118","XLOC_000118","Hint3","1:29413364-29423347","ZL","ZDF","OK",22.4463,13.8257,-0.699127,-1.43335,0.04945,0.37198,"no"
"131","XLOC_000131","XLOC_000131","Lrrc14b","1:31530911-31545559","ZL","ZDF","OK",26.0609,9.67713,-1.42924,-2.09284,0.0035,0.0887353,"no"
"160","XLOC_000160","XLOC_000160","Ube2ql1","1:36185915-36226276","ZL","ZDF","OK",8.822,2.43766,-1.85561,-3.64457,5e-05,0.00520877,"yes"
"172","XLOC_000172","XLOC_000172","Ppp1r14c","1:39811313-39923079","ZL","ZDF","OK",42.3758,19.77,-1.09992,-2.1086,0.00285,0.0792985,"no"
"178","XLOC_000178","XLOC_000178","Armt1","1:40982722-41006373","ZL","ZDF","OK",14.8501,7.79395,-0.930044,-1.9733,0.006,0.12372,"no"
"202","XLOC_000202","XLOC_000202","Synj2","1:46835970-46936127","ZL","ZDF","OK",9.71113,4.64568,-1.06375,-2.12314,0.00295,0.0810549,"no"
"209","XLOC_000209","XLOC_000209","Fndc1","1:47605261-47687504","ZL","ZDF","OK",5.54629,3.12717,-0.826665,-1.78421,0.0134,0.199963,"no"
"214","XLOC_000214","XLOC_000214","Mrpl18","1:48033767-48038726","ZL","ZDF","OK",52.3382,31.6278,-0.72667,-1.48857,0.034,0.314675,"no"
