"","test_id","gene_id","gene","locus","sample_1","sample_2","status","value_1","value_2","log2.fold_change.","test_stat","p_value","q_value","significant"
"160","XLOC_000160","XLOC_000160","Ube2ql1","1:36185915-36226276","ZL","ZDF","OK",8.822,2.43766,-1.85561,-3.64457,5e-05,0.00520877,"yes"
"242","XLOC_000242","XLOC_000242","Smoc2","1:56242345-56374120","ZL","ZDF","OK",5.79743,1.99062,-1.5422,-3.1309,5e-05,0.00520877,"yes"
"475","XLOC_000475","XLOC_000475","Opa3","1:80141569-80163636","ZL","ZDF","OK",22.3043,7.80393,-1.51505,-2.59692,3e-04,0.019395,"yes"
"588","XLOC_000588","XLOC_000588","Fbxo17","1:86914136-86919236","ZL","ZDF","OK",0.490613,0.0870906,-2.49399,-1.72183,0.0295,0.295956,"no"
"716","XLOC_000716","XLOC_000716","Klk10","1:99718467-99722792","ZL","ZDF","OK",8.13317,2.29613,-1.82461,-3.30716,5e-05,0.00520877,"yes"
"735","XLOC_000735","XLOC_000735","Shank1","1:100297151-100345315","ZL","ZDF","OK",0.428389,0.100565,-2.09078,-3.01012,2e-04,0.014703,"yes"
"763","XLOC_000763","XLOC_000763","Kcna7","1:101397827-101403320","ZL","ZDF","OK",1.62321,0.364048,-2.15665,-3.21885,1e-04,0.00897184,"yes"
"771","XLOC_000771","XLOC_000771","Bcat2","1:101553228-101572084","ZL","ZDF","OK",102.249,27.8369,-1.87702,-3.37485,5e-05,0.00520877,"yes"
"798","XLOC_000798","XLOC_000798","Tmem86a","1:103172986-103177417","ZL","ZDF","OK",12.2905,4.24117,-1.53501,-3.15615,5e-05,0.00520877,"yes"
"1233","XLOC_001233","XLOC_001233","Tead1","1:177495781-177714826","ZL","ZDF","OK",10.0074,3.52955,-1.50352,-1.34722,0.04305,0.34931,"no"
"1440","XLOC_001440","XLOC_001440","Cd163l1","1:212695734-212706790","ZL","ZDF","OK",0.458241,0.143671,-1.67333,-1.47875,0.033,0.310519,"no"
"1774","XLOC_001774","XLOC_001774","Vldlr","1:245236976-245273731","ZL","ZDF","OK",18.7629,6.15208,-1.60874,-3.00323,5e-05,0.00520877,"yes"
"1843","XLOC_001843","XLOC_001843","Kif11","1:256035865-256088299","ZL","ZDF","OK",0.85705,0.283174,-1.59769,-2.44059,0.00205,0.0679654,"no"
"1893","XLOC_001893","XLOC_001893","Kcnip2","1:262892544-262916361","ZL","ZDF","OK",2.2642,0.680568,-1.73419,-2.78297,3e-04,0.019395,"yes"
"2175","XLOC_002175","XLOC_002175","AABR07001054.2,SNORA17","1:35741318-35996536","ZL","ZDF","OK",2.34473,0.471951,-2.31271,-2.30354,0.002,0.0673231,"no"
"2504","XLOC_002504","XLOC_002504","Cblc","1:80699036-80716146","ZL","ZDF","OK",14.0882,3.23786,-2.12138,-3.60404,5e-05,0.00520877,"yes"
"2527","XLOC_002527","XLOC_002527","Atp1a3","1:81852428-81881549","ZL","ZDF","OK",1.42219,0.372828,-1.93153,-2.89606,0.00035,0.0213112,"yes"
"2654","XLOC_002654","XLOC_002654","Hamp","1:89368020-89369960","ZL","ZDF","OK",20.6977,7.13152,-1.53719,-2.3822,0.0025,0.0724967,"no"
"2782","XLOC_002782","XLOC_002782","Lin7b","1:101358327-101360971","ZL","ZDF","OK",1.29947,0.362917,-1.84021,-1.49396,0.044,0.352624,"no"
"3672","XLOC_003672","XLOC_003672","Ccnd1","1:218090748-218100537","ZL","ZDF","OK",24.3259,7.68013,-1.66329,-3.42183,5e-05,0.00520877,"yes"
"3703","XLOC_003703","XLOC_003703","LOC689065","1:219743746-219758885","ZL","ZDF","OK",0.674066,0.216016,-1.64175,-1.53059,0.0329,0.309711,"no"
"3833","XLOC_003833","XLOC_003833","Ms4a12","1:227405225-227416859","ZL","ZDF","OK",1.5183,0.478398,-1.66617,-1.79327,0.0122,0.189251,"no"
"3993","XLOC_003993","XLOC_003993","Cpeb3","1:255661798-255842336","ZL","ZDF","OK",2.78491,0.977342,-1.51069,-2.07142,0.0056,0.118702,"no"
"4075","XLOC_004075","XLOC_004075","LOC100911951","1:265549592-265573409","ZL","ZDF","OK",3.15265,0.414605,-2.92676,-2.93186,5e-04,0.0273396,"yes"
"4137","XLOC_004137","XLOC_004137","AABR07007055.1","1:278476629-278480915","ZL","ZDF","OK",1.15087,0.382455,-1.58937,-1.95241,0.009,0.157007,"no"
"5207","XLOC_005207","XLOC_005207","Gspt1","10:4312862-4446200","ZL","ZDF","OK",1.90309,0.533161,-1.8357,-2.90452,0.00025,0.0171727,"yes"
"5255","XLOC_005255","XLOC_005255","Srl","10:11240137-11284427","ZL","ZDF","OK",140.546,40.5551,-1.79309,-2.51223,0.00105,0.0454332,"yes"
"5268","XLOC_005268","XLOC_005268","Mefv","10:12046540-12056311","ZL","ZDF","OK",0.999335,0.25632,-1.96302,-2.3645,0.002,0.0673231,"no"
"5493","XLOC_005493","XLOC_005493","Acsl6","10:39655073-39719355","ZL","ZDF","OK",7.22463,1.27447,-2.50303,-4.35342,5e-05,0.00520877,"yes"
"5728","XLOC_005728","XLOC_005728","AABR07029907.2,Metazoa_SRP","10:59151683-59151985","ZL","ZDF","OK",60.1859,12.3668,-2.28296,-3.20768,5e-05,0.00520877,"yes"
"5967","XLOC_005967","XLOC_005967","Col1a1","10:82745800-82762789","ZL","ZDF","OK",87.9333,29.1873,-1.59107,-2.41966,0.0018,0.0627033,"no"
"6156","XLOC_006156","XLOC_006156","Taco1","10:94260195-94273976","ZL","ZDF","OK",6.82098,2.31483,-1.55907,-2.33048,0.00055,0.0292018,"yes"
"6231","XLOC_006231","XLOC_006231","2310067B10Rik","10:104305788-104358253","ZL","ZDF","OK",65.9922,14.6263,-2.17373,-2.82964,0.0097,0.164773,"no"
"6438","XLOC_006438","XLOC_006438","Ccnf","10:13594686-13619935","ZL","ZDF","OK",0.465218,0.141769,-1.71436,-1.98816,0.0105,0.172497,"no"
"6644","XLOC_006644","XLOC_006644","Lyrm7","10:40183050-40201992","ZL","ZDF","OK",13.0321,4.31539,-1.5945,-3.22212,5e-05,0.00520877,"yes"
